[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/word/S.mp3 → 200 (4ms, 4546B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/name/S.mp3 → 200 (4ms, 6735B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/prompt/M.mp3 → 200 (4ms, 5717B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/confirm/M.mp3 → 200 (4ms, 7925B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/word/M.mp3 → 200 (4ms, 4911B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/name/M.mp3 → 200 (4ms, 5483B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/prompt/T.mp3 → 200 (5ms, 4028B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/confirm/T.mp3 → 200 (5ms, 7484B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/word/T.mp3 → 200 (5ms, 4963B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/name/T.mp3 → 200 (5ms, 5822B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/prompt/A.mp3 → 200 (5ms, 3869B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/confirm/A.mp3 → 200 (5ms, 5819B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/word/A.mp3 → 200 (5ms, 4964B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/name/A.mp3 → 200 (5ms, 5093B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/prompt/P.mp3 → 200 (5ms, 3822B)
[2026-07-29T02:46:37.821Z] GET http://localhost:5183/audio/confirm/P.mp3 → 200 (4ms, 6705B)
[2026-07-29T02:46:37.821Z] GET http://localhost:5183/audio/word/P.mp3 → 200 (4ms, 4599B)
[2026-07-29T02:46:37.821Z] GET http://localhost:5183/audio/name/P.mp3 → 200 (4ms, 6006B)
[2026-07-29T02:46:37.821Z] GET http://localhost:5183/audio/prompt/C.mp3 → 200 (4ms, 3742B)
[2026-07-29T02:46:37.821Z] GET http://localhost:5183/audio/confirm/C.mp3 → 200 (4ms, 7483B)
